,Request Creation Time,Number of Passengers,Booking Type,Requested Pickup Time,Origin Lat,Origin Lng,Destination Lat,Destination Lng,Request Status,On-demand ETA,Ride Duration,Origin Node,Destination Node
75,2022-05-29 20:47:00,1,Prebooking,2022-06-01 00:00:00,42.3642834,-71.1189319,42.3813943,-71.1192148,Seat Unavailable,,,3348321125,2559968311
136,2022-05-30 21:49:00,3,Prebooking,2022-06-01 19:00:00,42.37182191,-71.11855175,42.3690298,-71.1115687,Seat Unavailable,,,61325428,61326743
221,2022-06-01 23:59:00,2,Prebooking,2022-06-03 00:05:00,42.37990129,-71.1078256,42.37215284,-71.09896626,Seat Unavailable,,,61173691,61325436
806,2022-06-08 21:28:00,1,Prebooking,2022-06-10 18:00:00,42.36556377,-71.10406548,42.3708098,-71.1204575,Unaccepted Proposal,,,61317423,61323953
1350,2022-06-16 20:41:00,1,Prebooking,2022-06-18 16:15:00,42.36409699,-71.12932954,42.38865393,-71.11938458,Seat Unavailable,,,5848019632,1077645749
1396,2022-06-18 16:00:00,1,Prebooking,2022-06-21 18:00:00,42.36151858,-71.12809606,42.38140411,-71.1163215,Seat Unavailable,,,7115621164,2562483350
1397,2022-06-18 16:45:00,1,Prebooking,2022-06-18 16:47:00,42.37438157,-71.11878276,42.35956043,-71.11514166,Invalid,,,4267069426,61317333
1398,2022-06-18 17:18:00,1,Prebooking,2022-06-18 17:20:00,42.36991536,-71.11658972,42.3610071,-71.1139362,Invalid,,,61323340,61329824
1399,2022-06-18 17:27:00,1,Prebooking,2022-06-18 17:29:00,42.36297849,-71.12604015,42.37406799,-71.11345556,Unaccepted Proposal,,,61516467,61324878
1404,2022-06-18 19:03:00,1,Prebooking,2022-06-18 19:05:00,42.3735959,-71.11436181,42.37649728,-71.10453554,Unaccepted Proposal,,,61324878,61171145
1405,2022-06-18 19:06:00,3,Prebooking,2022-06-18 19:08:00,42.37058688,-71.11913279,42.36348163,-71.12942174,Invalid,,,61323953,3390939628
1412,2022-06-18 19:43:00,1,Prebooking,2022-06-18 19:45:00,42.3726897,-71.1169437,42.38647944,-71.13064852,Invalid,,,61324477,61330085
1413,2022-06-18 19:47:00,2,Prebooking,2022-06-18 19:49:00,42.36317122,-71.12863585,42.3655415,-71.1153546,Invalid,,,61339760,3895957329
1415,2022-06-18 20:11:00,1,Prebooking,2022-06-18 20:13:00,42.35916602,-71.11399535,42.378957,-71.1236905,Cancel,,,567777297,61324107
1416,2022-06-18 20:12:00,2,Prebooking,2022-06-18 20:14:00,42.36567995,-71.10414662,42.372819,-71.116707,Invalid,,,61317423,61325608
1417,2022-06-18 20:24:00,1,Prebooking,2022-06-18 20:26:00,42.3595658,-71.1152824,42.3688677,-71.1159634,Invalid,,,61317333,61323347
1420,2022-06-18 20:39:00,1,Prebooking,2022-06-18 20:41:00,42.38337,-71.12647399,42.3701488,-71.1192282,Invalid,,,61318463,61317323
1423,2022-06-18 20:46:00,1,Prebooking,2022-06-18 20:48:00,42.3705418,-71.1164204,42.3811693,-71.1247309,Invalid,,,61323340,61318460
1424,2022-06-18 20:48:00,1,Prebooking,2022-06-18 20:49:00,42.3726823,-71.1185993,42.37888907,-71.10535797,Unaccepted Proposal,,,5645093171,61171192
1426,2022-06-18 20:59:00,1,Prebooking,2022-06-18 21:01:00,42.38141154,-71.12577092,42.3739402,-71.1212945,Invalid,,,61318460,61324855
1432,2022-06-18 21:28:00,1,Prebooking,2022-06-18 21:30:00,42.37386588,-71.12274304,42.3760078,-71.1301661,Invalid,,,621112719,61328839
1433,2022-06-18 21:32:00,1,Prebooking,2022-06-18 21:34:00,42.38027848,-71.12512752,42.3635097,-71.1298352,Invalid,,,61318456,61339756
1434,2022-06-18 21:36:00,1,Prebooking,2022-06-18 21:38:00,42.36365479,-71.12929232,42.3719526,-71.1147573,Invalid,,,5848019633,61325420
1436,2022-06-18 21:41:00,1,Prebooking,2022-06-18 21:43:00,42.37442566,-71.11875594,42.37729653,-71.11236658,Invalid,,,4267069426,61323587
1438,2022-06-18 21:51:00,1,Prebooking,2022-06-18 21:53:00,42.3666411,-71.11563686,42.3736135,-71.1232032,Invalid,,,2764945127,61323168
1439,2022-06-18 21:51:00,1,Prebooking,2022-06-18 21:53:00,42.38216491,-71.12660408,42.37547584,-71.12081051,Unaccepted Proposal,,,61318458,61328969
1440,2022-06-18 21:58:00,1,Prebooking,2022-06-18 22:00:00,42.3723183,-71.12078872,42.36414455,-71.11900639,Invalid,,,1839951959,3348321125
1441,2022-06-18 22:11:00,1,Prebooking,2022-06-18 22:13:00,42.37783845,-71.12308905,42.36194642,-71.13037862,Invalid,,,61328873,2667690924
1442,2022-06-18 22:19:00,1,Prebooking,2022-06-18 22:21:00,42.38289401,-71.12613201,42.38134071,-71.11192703,Other Error,,,61323038,61323727
1445,2022-06-18 22:37:00,1,Prebooking,2022-06-18 22:39:00,42.3737826,-71.1223973,42.3663057,-71.1151216,Unaccepted Proposal,,,61329608,61328439
1446,2022-06-18 22:38:00,2,Prebooking,2022-06-18 22:40:00,42.36464471,-71.11890581,42.36152155,-71.13330893,Unaccepted Proposal,,,3348321125,61465801
1447,2022-06-18 22:38:00,1,Prebooking,2022-06-18 22:40:00,42.38441558,-71.12437248,42.37896312,-71.11398697,Unaccepted Proposal,,,61323222,61332938
1458,2022-06-18 23:29:00,1,Prebooking,2022-06-18 23:31:00,42.3654119,-71.1046063,42.3737825,-71.1136282,Unaccepted Proposal,,,61323843,61324878
1460,2022-06-18 23:31:00,1,Prebooking,2022-06-18 23:33:00,42.37945574,-71.11575924,42.378957,-71.1236905,Seat Unavailable,,,2562483347,61324107
1461,2022-06-18 23:32:00,2,Prebooking,2022-06-18 23:34:00,42.36707882,-71.11554902,42.3827255,-71.1267225,Seat Unavailable,,,2764945127,61323038
1464,2022-06-18 23:49:00,2,Prebooking,2022-06-18 23:51:00,42.37251621,-71.12055704,42.37472982,-71.12893526,Seat Unavailable,,,61325469,61328815
1465,2022-06-18 23:56:00,1,Prebooking,2022-06-18 23:58:00,42.37385622,-71.12282619,42.3661997,-71.1141467,Seat Unavailable,,,621112719,61323866
1466,2022-06-18 23:57:00,1,Prebooking,2022-06-18 23:59:00,42.37385672,-71.12280875,42.3688642,-71.115214,Seat Unavailable,,,621112719,61321522
1469,2022-06-19 20:53:00,1,Prebooking,2022-06-19 20:55:00,42.37623672,-71.1272049,42.37566606,-71.10703468,Unaccepted Proposal,,,61324241,61328898
1472,2022-06-19 20:54:00,1,Prebooking,2022-06-19 20:56:00,42.37845589,-71.12703323,42.37788526,-71.11372948,Unaccepted Proposal,,,61321255,61332938
1477,2022-06-19 21:38:00,1,Prebooking,2022-06-19 21:40:00,42.38117552,-71.13706771,42.3656371,-71.1152429,Unaccepted Proposal,,,61321152,61328439
1478,2022-06-19 21:52:00,1,Prebooking,2022-06-19 21:54:00,42.36981627,-71.11196894,42.36561975,-71.10404268,Unaccepted Proposal,,,61326743,61317423
1480,2022-06-19 22:03:00,4,Prebooking,2022-06-19 22:05:00,42.38840902,-71.11948583,42.3662676,-71.1150444,Unaccepted Proposal,,,61322154,61328439
1493,2022-06-19 23:04:00,1,Prebooking,2022-06-19 23:06:00,42.3737825,-71.1136282,42.3627457,-71.1133559,Unaccepted Proposal,,,61324878,61317400
2886,2022-07-13 21:40:00,1,Prebooking,2022-07-15 18:00:00,42.372929,-71.114998,42.36526155,-71.10422507,Unaccepted Proposal,,,8754542700,61327273
3870,2022-07-25 21:06:00,1,Prebooking,2022-07-26 18:00:00,42.3649893,-71.1071356,42.37883632,-71.11346126,Unaccepted Proposal,,,61317663,61332938
4852,2022-08-06 23:36:00,1,Prebooking,2022-08-08 18:00:00,42.37704638,-71.11631848,42.36149216,-71.13339996,Seat Unavailable,,,61329142,61465801
5478,2022-08-13 23:36:00,1,Prebooking,2022-08-15 18:00:00,42.37564674,-71.11316454,42.3820027,-71.11739673,Seat Unavailable,,,61324740,61321956
6167,2022-08-22 19:07:00,1,Prebooking,2022-08-24 18:00:00,42.38313968,-71.11976445,42.36626804,-71.11489121,Seat Unavailable,,,61322186,61328439
6383,2022-08-24 18:59:00,1,Prebooking,2022-08-26 18:00:00,42.36251101,-71.11305893,42.38736425,-71.12756398,Seat Unavailable,,,61317400,61323237
7356,2022-08-30 19:44:00,1,Prebooking,2022-09-01 00:05:00,42.37732502,-71.11524794,42.36626804,-71.11489121,Unaccepted Proposal,,,61321817,61328439
8513,2022-09-06 20:35:00,1,Prebooking,2022-09-08 00:05:00,42.37732502,-71.11524794,42.36626804,-71.11489121,Unaccepted Proposal,,,61321817,61328439
11310,2022-09-18 20:02:00,1,Prebooking,2022-09-20 00:05:00,42.3799086,-71.1083539,42.38052368,-71.11782837,Unaccepted Proposal,,,61327042,5617765740
12266,2022-09-22 20:35:00,1,Prebooking,2022-09-24 00:05:00,42.36341127,-71.1298918,42.3790373,-71.1177659,Unaccepted Proposal,,,61339756,2562483347
15065,2022-10-04 00:26:00,1,Prebooking,2022-10-05 00:30:00,42.37937054,-71.11977283,42.3661997,-71.1141467,Cancel,,,3306934506,61323866
16267,2022-10-08 23:36:00,1,Prebooking,2022-10-10 00:05:00,42.3696139,-71.11734543,42.3754574,-71.1244823,Seat Unavailable,,,11729769539,61324471
17247,2022-10-13 23:50:00,1,Prebooking,2022-10-15 00:05:00,42.3659678,-71.1053801,42.36516196,-71.11900739,Cancel,,,61327348,6278307929
17265,2022-10-14 00:12:00,1,Prebooking,2022-10-15 00:35:00,42.3807478,-71.11874655,42.3736153,-71.1228026,Cancel,,,2559968298,621112719
17281,2022-10-14 00:29:00,1,Prebooking,2022-10-15 00:35:00,42.3775774,-71.11620314,42.38647003,-71.11625109,Cancel,,,61321817,1841896967
19377,2022-10-22 23:02:00,1,Prebooking,2022-10-24 00:05:00,42.3716605,-71.1210395,42.36090171,-71.13179416,Unaccepted Proposal,,,61325553,61339905
20878,2022-10-29 00:08:00,4,Prebooking,2022-10-30 00:05:00,42.38195292,-71.1246806,42.3708098,-71.1204575,Cancel,,,61318474,61323953
23038,2022-11-07 20:18:00,1,Prebooking,2022-11-09 00:05:00,42.36726337,-71.12287883,42.38850708,-71.11940872,Unaccepted Proposal,,,1003027836,1077645749
23864,2022-11-10 21:29:00,1,Prebooking,2022-11-12 00:05:00,42.37603635,-71.11355647,42.37527472,-71.1023254,Unaccepted Proposal,,,314502508,61171038
27741,2022-12-01 19:02:00,1,Prebooking,2022-12-03 00:05:00,42.37613245,-71.11378681,42.38233406,-71.11153845,Unaccepted Proposal,,,314502508,61172144
28980,2022-12-06 20:50:00,1,Prebooking,2022-12-08 21:05:00,42.37487025,-71.12182606,42.3667984,-71.1138076,Completed,,7.2,61321630,61318577
32447,2023-01-15 19:59:56,1,Prebooking,2023-01-17 19:00:00,42.363677087,-71.123678461,42.373820552,-71.101175062,Unaccepted Proposal,,,61339747,61325480
36035,2023-02-03 19:04:27,1,Prebooking,2023-02-05 00:05:00,42.376606752,-71.116088815,42.378945043,-71.123636551,Unaccepted Proposal,,,61329142,61324107
36884,2023-02-06 19:01:42,1,Prebooking,2023-02-08 00:05:00,42.373570137,-71.109161675,42.379093893,-71.104130857,Unaccepted Proposal,,,61325493,61171112
36993,2023-02-06 21:04:08,1,Prebooking,2023-02-08 21:05:00,42.375103572,-71.121914908,42.366798404,-71.113807596,Cancel,,2.0,61321630,61318577
37690,2023-02-09 19:56:48,1,Prebooking,2023-02-14 21:00:00,42.374819725,-71.122343726,42.366798404,-71.113807596,Cancel,,,61321630,61318577
38457,2023-02-12 00:52:42,4,Prebooking,2023-02-13 00:05:00,42.372483509,-71.120226122,42.3824831,-71.1246922,Unaccepted Proposal,,,1839951958,61318474
41384,2023-02-24 01:52:44,1,Prebooking,2023-02-25 00:05:00,42.365710915,-71.104148962,42.360470144,-71.131083034,Cancel,,,61317423,61339841
41710,2023-02-25 00:52:15,1,Prebooking,2023-02-26 00:05:00,42.370596045,-71.117522791,42.382340005,-71.11161489,Unaccepted Proposal,,,61321481,61172144
